name,club,injuries
Faride Alidou,Eintracht Frankfurt,"[('21/22', 'Foot Injury', 'Apr 5, 2022', 'Apr 8, 2022', '3', '1'), ('21/22', 'Corona virus', 'Mar 10, 2022', 'Mar 16, 2022', '6', 0)]"
Ansgar Knauff,Eintracht Frankfurt,"[('22/23', 'Hamstring Injury', 'Oct 10, 2022', 'Oct 31, 2022', '21', '6')]"
Randal Kolo Muani,Eintracht Frankfurt,[]
Rafael Borré,Eintracht Frankfurt,"[('20/21', 'Corona virus', 'May 15, 2021', 'May 23, 2021', '8', '3'), ('20/21', 'Knock', 'May 5, 2021', 'May 8, 2021', '3', '1'), ('19/20', 'Knock', 'Dec 3, 2020', 'Dec 7, 2020', '4', '1'), ('20/21', 'Corona virus', 'Nov 7, 2020', 'Nov 18, 2020', '11', '2'), ('19/20', 'Hip problems', 'Mar 3, 2020', 'Mar 7, 2020', '4', '1'), ('18/19', 'Bruised Foot', 'Oct 25, 2018', 'Oct 30, 2018', '5', '1')]"
Lucas Alario,Eintracht Frankfurt,"[('21/22', 'Muscular problems', 'Oct 25, 2021', 'Oct 29, 2021', '4', '1'), ('21/22', 'Pulled hamstring at the adductors', 'Aug 3, 2021', 'Sep 6, 2021', '34', '4'), ('20/21', 'Hamstring Injury', 'Apr 30, 2021', 'Jul 19, 2021', '80', '3'), ('20/21', 'Knee Problems', 'Nov 29, 2020', 'Dec 11, 2020', '12', '4'), ('17/18', 'Adductor problems', 'Dec 18, 2017', 'Jan 3, 2018', '16', '1')]"
Nacho Ferri,Eintracht Frankfurt,"[('21/22', 'Unknown Injury', 'Apr 21, 2022', 'May 31, 2022', '40', '2'), ('21/22', 'Muscle Injury', 'Jul 20, 2021', 'Nov 30, 2021', '133', '10')]"
Yann Sommer,Borussia Mönchengladbach,"[('22/23', 'Torn Ankle Ligament', 'Oct 20, 2022', 'Nov 14, 2022', '25', '5'), ('21/22', 'Corona virus', 'Mar 21, 2022', 'Mar 28, 2022', '7', 0), ('20/21', 'Adductor problems', 'Dec 10, 2020', 'Dec 14, 2020', '4', '1'), ('17/18', 'Pulled hamstring at the adductors', 'Jan 29, 2018', 'Feb 15, 2018', '17', '2'), ('17/18', 'Twisted knee', 'Sep 18, 2017', 'Sep 28, 2017', '10', '2'), ('16/17', 'Ruptured ankle ligament', 'Aug 1, 2016', 'Aug 8, 2016', '7', 0), ('15/16', 'Nasal Bone Fracture', 'Oct 1, 2015', 'Oct 12, 2015', '11', '1')]"
Tobias Sippel,Borussia Mönchengladbach,"[('22/23', 'Tendonitis', 'Nov 7, 2022', '-', '19', '2'), ('22/23', 'Acromioclavicular Separation', 'Sep 12, 2022', 'Sep 26, 2022', '14', '1'), ('21/22', 'Bruised Rib', 'Jan 27, 2022', 'Feb 3, 2022', '7', 0), ('19/20', 'Ruptured intraarticular ligament initiation in knee', 'Oct 17, 2019', 'Nov 25, 2019', '39', '8'), ('14/15', 'Torn Muscle Fibre', 'Apr 16, 2015', 'May 7, 2015', '21', '3'), ('10/11', 'Torn Muscle Fibre', 'Jul 8, 2010', 'Jul 26, 2010', '18', 0), ('08/09', 'Torn Muscle Fibre', 'Apr 30, 2009', 'May 18, 2009', '18', '4'), ('08/09', 'Fractured Arm', 'Oct 30, 2008', 'Jan 1, 2009', '63', '7'), ('08/09', 'Torn Muscle Fibre', 'Jul 3, 2008', 'Jul 21, 2008', '18', 0)]"
Jan Olschowsky,Borussia Mönchengladbach,"[('20/21', 'Ankle Injury', 'Dec 14, 2020', 'Jan 19, 2021', '36', '7')]"
Nico Elvedi,Borussia Mönchengladbach,"[('22/23', 'Cold', 'Oct 31, 2022', 'Nov 7, 2022', '7', '1'), ('22/23', 'Overstretching', 'Sep 5, 2022', 'Sep 15, 2022', '10', '1'), ('21/22', 'Corona virus', 'Mar 14, 2022', 'Mar 21, 2022', '7', '1'), ('21/22', 'Abdominal Influenza', 'Dec 13, 2021', 'Dec 20, 2021', '7', '2'), ('21/22', 'Ruptured lateral collateral ligament', 'Nov 4, 2021', 'Nov 25, 2021', '21', '2'), ('20/21', 'Knock', 'Apr 1, 2021', 'Apr 15, 2021', '14', '2'), ('20/21', 'Muscle Injury', 'Nov 30, 2020', 'Dec 7, 2020', '7', '2'), ('19/20', 'Back trouble', 'Jan 16, 2020', 'Jan 23, 2020', '7', '1'), ('19/20', 'Strain', 'Nov 21, 2019', 'Dec 2, 2019', '11', '3'), ('18/19', 'Calf Problems', 'Apr 18, 2019', 'Apr 25, 2019', '7', '1'), ('18/19', 'Appendectomy', 'Aug 6, 2018', 'Aug 27, 2018', '21', '2'), ('17/18', 'Tear in a joint capsule', 'Feb 19, 2018', 'Feb 22, 2018', '3', 0), ('16/17', 'Back trouble', 'May 15, 2017', 'May 29, 2017', '14', '1'), ('16/17', 'Back trouble', 'Apr 10, 2017', 'Apr 13, 2017', '3', 0), ('16/17', 'Pubis bone irritation', 'Jan 5, 2017', 'Feb 27, 2017', '53', '9')]"
Marvin Friedrich,Borussia Mönchengladbach,"[('22/23', 'Torn Muscle Fibre', 'Jul 25, 2022', 'Aug 11, 2022', '17', '2'), ('21/22', 'Corona virus', 'Mar 17, 2022', 'Apr 21, 2022', '35', '4'), ('21/22', 'Influenza', 'Feb 24, 2022', 'Mar 10, 2022', '14', '2'), ('21/22', 'Ill', 'Dec 9, 2021', 'Dec 16, 2021', '7', '3'), ('21/22', 'Corona virus', 'Oct 18, 2021', 'Oct 28, 2021', '10', '3'), ('21/22', 'Ill', 'Jul 12, 2021', 'Jul 15, 2021', '3', 0), ('17/18', 'Influenza', 'Feb 15, 2018', 'Feb 19, 2018', '4', '1'), ('16/17', 'Tear in the abductor muscle', 'Jul 18, 2016', 'Nov 7, 2016', '112', '12'), ('16/17', 'Rest ', 'Jul 18, 2016', 'Jul 18, 2016', '0', 0)]"
Ko Itakura,Borussia Mönchengladbach,"[('22/23', 'Ruptured intraarticular ligament initiation in knee', 'Sep 12, 2022', 'Nov 9, 2022', '58', '9'), ('21/22', 'Corona virus', 'Dec 30, 2021', 'Jan 10, 2022', '11', 0), ('21/22', 'Groin Injury', 'Aug 30, 2021', 'Sep 13, 2021', '14', '1'), ('17/18', 'Torn Ankle Ligament', 'Mar 12, 2018', 'Apr 23, 2018', '42', '9')]"
Tony Jantschke,Borussia Mönchengladbach,"[('22/23', 'Thigh Problems', 'Nov 7, 2022', 'Nov 10, 2022', '3', '1'), ('22/23', 'Knock', 'Sep 8, 2022', 'Sep 15, 2022', '7', '1'), ('21/22', 'Knee Surgery', 'May 5, 2022', 'Jun 20, 2022', '46', '2'), ('21/22', 'Corona virus', 'Mar 31, 2022', 'Apr 14, 2022', '14', '2'), ('21/22', 'Knee Problems', 'Feb 24, 2022', 'Mar 10, 2022', '14', '2'), ('21/22', 'Facial Injury', 'Oct 25, 2021', 'Dec 6, 2021', '42', '6'), ('20/21', 'Knee Problems', 'Nov 30, 2020', 'Dec 10, 2020', '10', '3'), ('19/20', 'Torn Muscle Fibre', 'Jan 16, 2020', 'Feb 10, 2020', '25', '3'), ('19/20', 'Torn Muscle Fibre', 'Nov 4, 2019', 'Nov 25, 2019', '21', '3'), ('19/20', 'Back trouble', 'Aug 5, 2019', 'Aug 19, 2019', '14', '2'), ('18/19', 'Muscular problems', 'Dec 13, 2018', 'Dec 20, 2018', '7', '2'), ('17/18', 'Bruised Knee', 'Mar 12, 2018', 'Mar 15, 2018', '3', 0), ('17/18', 'Bone Bruise', 'Feb 19, 2018', 'Feb 26, 2018', '7', '1'), ('17/18', 'Head Injury', 'Dec 4, 2017', 'Dec 14, 2017', '10', '2'), ('17/18', 'Head Injury', 'Nov 27, 2017', 'Nov 30, 2017', '3', 0)]"
Mamadou Doucouré,Borussia Mönchengladbach,"[('22/23', 'Tear in a joint capsule', 'Sep 8, 2022', 'Nov 14, 2022', '67', '11'), ('21/22', 'Muscular problems', 'Feb 10, 2022', 'Mar 28, 2022', '46', '6'), ('21/22', 'Corona virus', 'Dec 30, 2021', 'Jan 10, 2022', '11', '1'), ('21/22', 'Achilles tendon rupture', 'Apr 26, 2021', 'Dec 20, 2021', '238', '22'), ('20/21', 'Knock', 'Dec 21, 2020', 'Mar 8, 2021', '77', '15'), ('19/20', 'Calf muscle strain', 'Oct 24, 2019', 'Dec 30, 2019', '67', '14'), ('18/19', 'Torn muscle bundle', 'Nov 15, 2018', 'Apr 1, 2019', '137', '16'), ('17/18', 'Muscle partial avulsion', 'Feb 26, 2018', 'Sep 27, 2018', '213', '16'), ('17/18', 'Torn muscle bundle', 'Dec 7, 2017', 'Feb 26, 2018', '81', '11'), ('17/18', 'Torn muscle bundle', 'Jan 9, 2017', 'Dec 4, 2017', '329', '41'), ('16/17', 'Torn muscle bundle', 'Jun 6, 2016', 'Jan 5, 2017', '213', '41')]"
Ramy Bensebaini,Borussia Mönchengladbach,"[('22/23', 'Corona virus', 'Nov 13, 2022', 'Nov 17, 2022', '4', 0), ('22/23', 'Influenza', 'Aug 22, 2022', 'Sep 1, 2022', '10', '1'), ('22/23', 'Corona virus', 'Jul 7, 2022', 'Jul 18, 2022', '11', 0), ('21/22', 'Thigh Problems', 'Apr 7, 2022', 'Apr 14, 2022', '7', '1'), ('21/22', 'Groin Injury', 'Sep 6, 2021', 'Oct 21, 2021', '45', '5'), ('21/22', 'Hamstring Injury', 'Jul 22, 2021', 'Aug 16, 2021', '25', '2'), ('20/21', 'Muscular problems', 'Mar 8, 2021', 'Mar 15, 2021', '7', '1'), ('20/21', 'Corona virus', 'Nov 16, 2020', 'Dec 31, 2020', '45', '10'), ('19/20', 'Torn Muscle Fibre', 'Jan 13, 2020', 'Feb 17, 2020', '35', '4'), ('19/20', 'Muscular problems', 'Oct 31, 2019', 'Nov 7, 2019', '7', '2'), ('18/19', 'Leg Injury', 'Jan 17, 2019', 'Feb 14, 2019', '28', '7'), ('17/18', 'Adductor problems', 'Nov 2, 2017', 'Dec 11, 2017', '39', '6'), ('16/17', 'Bruise', 'Jan 19, 2017', 'Jan 30, 2017', '11', '2'), ('16/17', 'Leg Injury', 'Oct 6, 2016', 'Oct 27, 2016', '21', '3')]"
Luca Netz,Borussia Mönchengladbach,"[('22/23', 'Corona virus', 'Jul 5, 2022', 'Jul 18, 2022', '13', 0), ('21/22', 'Muscular problems', 'Mar 19, 2022', 'Apr 12, 2022', '24', '2'), ('20/21', 'Metatarsal Fracture', 'Mar 25, 2021', 'Jun 30, 2021', '97', '8'), ('19/20', 'Fractured Foot', 'Jun 1, 2020', 'Sep 1, 2020', '92', 0)]"
Joe Scally,Borussia Mönchengladbach,"[('21/22', 'Corona virus', 'Dec 30, 2021', 'Jan 10, 2022', '11', '1')]"
Stefan Lainer,Borussia Mönchengladbach,"[('22/23', 'Corona virus', 'Oct 24, 2022', 'Nov 7, 2022', '14', '2'), ('22/23', 'Abdominal Influenza', 'Oct 20, 2022', 'Oct 24, 2022', '4', '1'), ('22/23', 'Knee inflammation ', 'Aug 22, 2022', 'Sep 8, 2022', '17', '2'), ('21/22', 'Muscular problems', 'Mar 28, 2022', 'Mar 31, 2022', '3', 0), ('21/22', 'Ill', 'Mar 3, 2022', 'Mar 10, 2022', '7', '1'), ('21/22', 'Ankle Fracture', 'Aug 19, 2021', 'Nov 22, 2021', '95', '12'), ('20/21', 'Hamstring Injury', 'Feb 25, 2021', 'Mar 1, 2021', '4', '1'), ('19/20', 'Bruised Knee', 'Dec 16, 2019', 'Jan 2, 2020', '17', '2'), ('19/20', 'Ligament Problems', 'Oct 7, 2019', 'Oct 14, 2019', '7', 0), ('18/19', 'Knee Problems', 'Oct 11, 2018', 'Oct 22, 2018', '11', '1'), ('18/19', 'Ill', 'Aug 2, 2018', 'Aug 6, 2018', '4', '1'), ('17/18', 'Ill', 'Feb 15, 2018', 'Feb 19, 2018', '4', '2'), ('17/18', 'Ligament Injury', 'Jul 6, 2017', 'Jul 24, 2017', '18', '4'), ('16/17', 'Ill', 'Apr 20, 2017', 'Apr 27, 2017', '7', '2')]"
Julian Weigl,Borussia Mönchengladbach,"[('20/21', 'Corona virus', 'Nov 19, 2020', 'Dec 1, 2020', '12', '3'), ('19/20', 'Influenza', 'Feb 3, 2020', 'Feb 6, 2020', '3', '1'), ('19/20', 'Unknown Injury', 'Nov 28, 2019', 'Dec 3, 2019', '5', '1'), ('18/19', 'Infection', 'Mar 7, 2019', 'Mar 13, 2019', '6', '1'), ('18/19', 'Infection', 'Feb 11, 2019', 'Feb 16, 2019', '5', '1'), ('17/18', 'Rest ', 'Oct 23, 2017', 'Oct 26, 2017', '3', '1'), ('17/18', 'Fracture-dislocation of the ankle', 'May 22, 2017', 'Aug 28, 2017', '98', '5'), ('16/17', 'Thigh Problems', 'Apr 6, 2017', 'Apr 10, 2017', '4', '1'), ('16/17', 'Bruise', 'Mar 23, 2017', 'Mar 27, 2017', '4', 0), ('16/17', 'Adductor problems', 'Mar 13, 2017', 'Mar 16, 2017', '3', '1'), ('16/17', 'Rest ', 'Nov 21, 2016', 'Nov 24, 2016', '3', '1'), ('15/16', 'Rest ', 'Apr 7, 2016', 'Apr 11, 2016', '4', '2'), ('15/16', 'Infection', 'Dec 3, 2015', 'Dec 7, 2015', '4', '1'), ('15/16', 'Bruised Knee', 'Nov 9, 2015', 'Nov 16, 2015', '7', 0), ('14/15', 'Torn Muscle Fibre', 'Mar 12, 2015', 'Mar 16, 2015', '4', '1')]"
Christoph Kramer,Borussia Mönchengladbach,"[('22/23', 'Ruptured ankle aigament', 'Oct 10, 2022', 'Oct 20, 2022', '10', '2'), ('21/22', 'Corona virus', 'Feb 3, 2022', 'Feb 10, 2022', '7', '1'), ('21/22', 'Cold', 'Jan 13, 2022', 'Jan 20, 2022', '7', '2'), ('21/22', 'Hamstring Injury', 'Oct 11, 2021', 'Nov 29, 2021', '49', '7'), ('20/21', 'Tear in a joint capsule', 'Mar 4, 2021', 'Mar 18, 2021', '14', '3'), ('19/20', 'Head Injury', 'Feb 3, 2020', 'Feb 10, 2020', '7', 0), ('19/20', 'Torn Collateral Ligament', 'Nov 11, 2019', 'Nov 21, 2019', '10', 0), ('19/20', 'Torn Ankle Ligament', 'Jul 25, 2019', 'Aug 19, 2019', '25', '2'), ('18/19', 'Ruptured ankle aigament', 'Nov 15, 2018', 'Dec 20, 2018', '35', '5'), ('17/18', 'Knee Injury', 'Mar 12, 2018', 'Mar 26, 2018', '14', '1'), ('17/18', 'Pinched nerve', 'Mar 5, 2018', 'Mar 5, 2018', '0', 0), ('17/18', 'Ill', 'Jan 18, 2018', 'Jan 22, 2018', '4', '1'), ('17/18', 'Neck Injury', 'Dec 14, 2017', 'Jan 1, 2018', '18', '2'), ('17/18', 'Shoulder Injury', 'Dec 14, 2017', 'Jan 1, 2018', '18', '2'), ('17/18', 'Minor Knock', 'Dec 11, 2017', 'Dec 11, 2017', '0', 0)]"
Manu Koné,Borussia Mönchengladbach,"[('22/23', 'Bruise', 'Oct 10, 2022', 'Oct 13, 2022', '3', 0), ('22/23', 'Knock', 'Jun 30, 2022', 'Aug 4, 2022', '35', '1'), ('21/22', 'Medial Collateral Ligament Injury', 'Jul 5, 2021', 'Sep 6, 2021', '63', '4'), ('19/20', 'Heel pain', 'Dec 2, 2019', 'Dec 5, 2019', '3', '1'), ('19/20', 'Arch pain', 'Oct 17, 2019', 'Oct 21, 2019', '4', '1'), ('19/20', 'Leg Injury', 'Sep 12, 2019', 'Sep 30, 2019', '18', '4'), ('19/20', 'Back bruise', 'Aug 8, 2019', 'Aug 26, 2019', '18', '3')]"
Florian Neuhaus,Borussia Mönchengladbach,"[('22/23', 'Partial damage to the cruciate ligament', 'Sep 12, 2022', 'Jan 2, 2023', '112', '10'), ('17/18', 'Adductor problems', 'Oct 9, 2017', 'Oct 12, 2017', '3', 0), ('16/17', 'Overstretching of the syndesmotic ligament', 'Jan 23, 2017', 'Mar 9, 2017', '45', '7'), ('16/17', 'Minor Knock', 'Sep 12, 2016', 'Sep 22, 2016', '10', '3'), ('14/15', 'Knock', 'Aug 14, 2014', 'Sep 29, 2014', '46', '7'), ('13/14', 'Knock', 'Jan 20, 2014', 'May 5, 2014', '105', '7'), ('13/14', 'Tonsillitis', 'Oct 10, 2013', 'Oct 24, 2013', '14', '1')]"
Oscar Fraulo,Borussia Mönchengladbach,[]
Rocco Reitz,Borussia Mönchengladbach,"[('20/21', 'Pubitis', 'Nov 26, 2020', 'Jan 25, 2021', '60', '13'), ('19/20', 'Torn muscle bundle', 'Aug 13, 2019', 'Nov 18, 2019', '97', '12')]"
Hannes Wolf,Borussia Mönchengladbach,"[('22/23', 'Shoulder Injury', 'Sep 19, 2022', 'Jan 2, 2023', '105', '9'), ('22/23', 'Hamstring Injury', 'Jul 18, 2022', 'Aug 4, 2022', '17', '1'), ('21/22', 'Back trouble', 'Jun 6, 2022', 'Jun 9, 2022', '3', 0), ('21/22', 'Corona virus', 'Mar 3, 2022', 'Mar 14, 2022', '11', '3'), ('21/22', 'Hamstring Injury', 'Feb 17, 2022', 'Feb 24, 2022', '7', '1'), ('20/21', 'Ill', 'Nov 23, 2020', 'Nov 26, 2020', '3', '1'), ('19/20', 'Fitness', 'Nov 4, 2019', 'Nov 28, 2019', '24', '4'), ('19/20', 'Fractured Leg', 'Jun 17, 2019', 'Nov 4, 2019', '140', '34'), ('18/19', 'Ill', 'Apr 11, 2019', 'Apr 15, 2019', '4', '1'), ('18/19', 'Ankle Injury', 'Mar 14, 2019', 'Mar 28, 2019', '14', '2'), ('17/18', 'Ill', 'Feb 8, 2018', 'Feb 15, 2018', '7', '2'), ('17/18', 'Ankle Injury', 'Nov 23, 2017', 'Jan 8, 2018', '46', '7'), ('17/18', 'Torn Muscle Fibre', 'Aug 28, 2017', 'Sep 7, 2017', '10', 0)]"
Lars Stindl,Borussia Mönchengladbach,"[('22/23', 'Hamstring Injury', 'Aug 1, 2022', 'Aug 18, 2022', '17', '2'), ('21/22', 'Medial Collateral Ligament Injury', 'Jan 20, 2022', 'Mar 7, 2022', '46', '6'), ('21/22', 'Ligament Problems', 'Jul 22, 2021', 'Jul 29, 2021', '7', 0), ('20/21', 'Torn Muscle Fibre', 'Apr 15, 2021', 'Apr 26, 2021', '11', '3'), ('19/20', 'Tibia Fracture', 'Apr 15, 2019', 'Oct 14, 2019', '182', '15'), ('18/19', 'Ankle Injury', 'Dec 13, 2018', 'Dec 31, 2018', '18', '3'), ('18/19', 'Syndesmotic ligament tear', 'Apr 30, 2018', 'Sep 10, 2018', '133', '5'), ('16/17', 'Hip problems', 'Apr 13, 2017', 'Apr 13, 2017', '0', 0), ('16/17', 'Muscular problems', 'Mar 9, 2017', 'Mar 30, 2017', '21', '4'), ('16/17', 'Influenza', 'Dec 15, 2016', 'Dec 19, 2016', '4', '1'), ('14/15', 'Ruptured knee ligament', 'Aug 18, 2014', 'Nov 3, 2014', '77', '11'), ('13/14', 'Torn Muscle Fibre', 'Nov 25, 2013', 'Dec 12, 2013', '17', '2'), ('12/13', 'Muscular problems', 'May 9, 2013', 'May 16, 2013', '7', '1'), ('12/13', 'Adductor problems', 'Apr 25, 2013', 'May 2, 2013', '7', '1'), ('12/13', 'Ruptured syndesmotic ligament', 'Dec 6, 2012', 'Apr 8, 2013', '123', '17')]"
Conor Noß,Borussia Mönchengladbach,"[('22/23', 'Corona virus', 'Nov 3, 2022', 'Nov 10, 2022', '7', '2')]"
Torben Müsel,Borussia Mönchengladbach,"[('22/23', 'Abdominal Strain', 'Oct 24, 2022', 'Oct 27, 2022', '3', 0), ('22/23', 'Adductor problems', 'Oct 6, 2022', 'Oct 13, 2022', '7', '1'), ('21/22', 'Hamstring Injury', 'Feb 3, 2022', 'Mar 7, 2022', '32', '7'), ('20/21', 'Knee Surgery', 'Oct 5, 2020', 'Jun 28, 2021', '266', '42'), ('19/20', 'Knee Surgery', 'Aug 19, 2019', 'Mar 2, 2020', '196', '29'), ('17/18', 'Torn Muscle Fibre', 'Aug 21, 2017', 'Sep 21, 2017', '31', '4')]"
Alassane Plea,Borussia Mönchengladbach,"[('22/23', 'Corona virus', 'Nov 10, 2022', 'Nov 17, 2022', '7', '1'), ('22/23', 'Pulled hamstring at the adductors', 'Sep 5, 2022', 'Sep 26, 2022', '21', '2'), ('21/22', 'Tear in a joint capsule', 'Jul 22, 2021', 'Aug 5, 2021', '14', 0), ('20/21', 'Muscular problems', 'Jan 7, 2021', 'Jan 11, 2021', '4', '1'), ('20/21', 'Strain', 'Dec 14, 2020', 'Dec 28, 2020', '14', '3'), ('20/21', 'Corona virus', 'Nov 16, 2020', 'Nov 23, 2020', '7', '1'), ('19/20', 'Tear in the abductor muscle', 'Jun 11, 2020', 'Jun 25, 2020', '14', '3'), ('19/20', 'Muscle Injury', 'Oct 17, 2019', 'Nov 7, 2019', '21', '6'), ('18/19', 'Thigh Muscle Strain', 'Oct 25, 2018', 'Nov 5, 2018', '11', '3'), ('16/17', 'Torn Meniscus', 'Feb 16, 2017', 'Jul 3, 2017', '137', '13'), ('15/16', 'Ruptured cruciate ligament', 'Oct 26, 2015', 'Feb 8, 2016', '105', '18'), ('15/16', 'Knee Injury', 'Sep 21, 2015', 'Nov 16, 2015', '56', '8')]"
Yvandro Borges Sanches,Borussia Mönchengladbach,"[('22/23', 'Muscular problems', 'Sep 29, 2022', 'Oct 6, 2022', '7', '1')]"
Jonas Hofmann,Borussia Mönchengladbach,"[('22/23', 'Acromioclavicular Separation', 'Oct 20, 2022', 'Nov 3, 2022', '14', '2'), ('21/22', 'Torn Muscle Fibre', 'Mar 10, 2022', 'Apr 4, 2022', '25', '3'), ('21/22', 'Knee Surgery', 'Dec 13, 2021', 'Jan 20, 2022', '38', '5'), ('20/21', 'Knee Injury', 'Jun 14, 2021', 'Jun 21, 2021', '7', 0), ('20/21', 'Corona virus', 'Mar 25, 2021', 'Apr 12, 2021', '18', '2'), ('20/21', 'Muscular problems', 'Mar 4, 2021', 'Mar 8, 2021', '4', '1'), ('20/21', 'Torn muscle bundle', 'Nov 12, 2020', 'Dec 21, 2020', '39', '9'), ('19/20', 'Medial Collateral Ligament Tear', 'Aug 12, 2019', 'Oct 14, 2019', '63', '9'), ('18/19', 'Ankle Injury', 'Feb 11, 2019', 'Feb 18, 2019', '7', '1'), ('18/19', 'Muscle Injury', 'Nov 26, 2018', 'Dec 20, 2018', '24', '4'), ('17/18', 'Medial Collateral Ligament avulsion ', 'Oct 30, 2017', 'Jan 1, 2018', '63', '8'), ('17/18', 'Muscular problems', 'Sep 18, 2017', 'Oct 12, 2017', '24', '3'), ('16/17', 'Hip Injury', 'Feb 2, 2017', 'Feb 13, 2017', '11', '3'), ('14/15', 'Knee Surgery', 'Mar 23, 2015', 'Jun 29, 2015', '98', '8'), ('14/15', 'Tendon crack', 'Mar 16, 2015', 'Mar 23, 2015', '7', '1')]"
Nathan Ngoumou,Borussia Mönchengladbach,[]
Patrick Herrmann,Borussia Mönchengladbach,"[('21/22', 'Corona virus', 'Mar 17, 2022', 'Mar 28, 2022', '11', '1'), ('20/21', 'Muscular problems', 'Dec 14, 2020', 'Dec 17, 2020', '3', '1'), ('18/19', 'Thigh Muscle Strain', 'May 6, 2019', 'May 16, 2019', '10', '1'), ('17/18', 'Torn lateral collateral ligament', 'Apr 12, 2018', 'Apr 30, 2018', '18', '3'), ('17/18', 'Torn Muscle Fibre', 'Nov 30, 2017', 'Dec 14, 2017', '14', '3'), ('16/17', 'Syndesmotic ligament tear', 'Nov 7, 2016', 'Jan 26, 2017', '80', '9'), ('16/17', 'Pulled hamstring at the adductors', 'Sep 12, 2016', 'Sep 22, 2016', '10', '3'), ('16/17', 'Pubis bone irritation', 'Jul 11, 2016', 'Jul 25, 2016', '14', 0), ('15/16', 'Cruciate Ligament Rupture', 'Oct 8, 2015', 'Feb 18, 2016', '133', '19'), ('15/16', 'Tear in a joint capsule', 'Sep 7, 2015', 'Sep 21, 2015', '14', '3'), ('12/13', 'Strain in the thigh and gluteal muscles', 'Oct 1, 2012', 'Oct 15, 2012', '14', '2'), ('12/13', 'Torn Muscle Fibre', 'Jul 19, 2012', 'Jul 30, 2012', '11', 0), ('11/12', 'Collarbone fracture', 'Feb 20, 2012', 'Mar 19, 2012', '28', '4'), ('10/11', 'Muscle bruise', 'Oct 4, 2010', 'Oct 14, 2010', '10', 0), ('10/11', 'Ankle Injury', 'Jul 12, 2010', 'Jul 22, 2010', '10', 0)]"
Marcus Thuram,Borussia Mönchengladbach,"[('22/23', 'Abdominal Influenza', 'Nov 13, 2022', 'Nov 16, 2022', '3', 0), ('22/23', 'Calf Problems', 'Sep 26, 2022', 'Sep 29, 2022', '3', 0), ('21/22', 'Muscular problems', 'Apr 11, 2022', 'May 12, 2022', '31', '4'), ('21/22', 'Adductor problems', 'Mar 31, 2022', 'Apr 4, 2022', '4', '1'), ('21/22', 'Ruptured intraarticular ligament initiation in knee', 'Aug 23, 2021', 'Oct 21, 2021', '59', '6'), ('21/22', 'Knee Problems', 'Aug 2, 2021', 'Aug 12, 2021', '10', '1'), ('20/21', 'Adductor problems', 'Jun 21, 2021', 'Jun 24, 2021', '3', 0), ('20/21', 'Knee Problems', 'Feb 11, 2021', 'Feb 15, 2021', '4', '1'), ('20/21', 'Ankle Injury', 'Jun 15, 2020', 'Sep 10, 2020', '87', '3'), ('19/20', 'Knee Problems', 'Mar 2, 2020', 'Mar 5, 2020', '3', 0)]"
Koen Casteels,VfL Wolfsburg,"[('21/22', 'Shoulder Injury', 'May 6, 2022', 'May 12, 2022', '6', '1'), ('21/22', 'Hip problems', 'Mar 7, 2022', 'Apr 4, 2022', '28', '3'), ('21/22', 'Fitness', 'Dec 2, 2021', 'Dec 6, 2021', '4', '1'), ('21/22', 'Corona virus', 'Nov 22, 2021', 'Nov 29, 2021', '7', '2'), ('20/21', 'Knee Problems', 'Sep 24, 2020', 'Oct 1, 2020', '7', '3'), ('20/21', 'laceration', 'Sep 10, 2020', 'Sep 14, 2020', '4', '1'), ('20/21', 'Thigh Problems', 'Dec 12, 2019', 'Dec 12, 2019', '0', '1'), ('19/20', 'Hairline crack in calfbone', 'Sep 2, 2019', 'Nov 18, 2019', '77', '13'), ('18/19', 'Muscle Injury', 'Apr 8, 2019', 'May 30, 2019', '52', '6'), ('17/18', 'Muscular problems', 'Dec 18, 2017', 'Jan 1, 2018', '14', '1'), ('16/17', 'Hip problems', 'May 11, 2017', 'May 11, 2017', '0', 0), ('15/16', 'Toe Injury', 'Sep 10, 2015', 'Sep 24, 2015', '14', '4'), ('14/15', 'Fitness', 'Sep 22, 2014', 'Nov 24, 2014', '63', '9'), ('13/14', 'Tibia Fracture', 'Apr 7, 2014', 'Sep 22, 2014', '168', '10'), ('13/14', 'Infection', 'Mar 20, 2014', 'Mar 31, 2014', '11', '3')]"
Pavao Pervan,VfL Wolfsburg,"[('16/17', 'Metatarsal Fracture', 'Aug 2, 2016', 'Dec 5, 2016', '125', '20')]"
Philipp Schulze,VfL Wolfsburg,[]
Niklas Klinger,VfL Wolfsburg,"[('21/22', 'Corona virus', 'Oct 25, 2021', 'Nov 8, 2021', '14', '3'), ('19/20', 'Hand Injury', 'Sep 4, 2019', 'Dec 31, 2019', '118', '21')]"
Maxence Lacroix,VfL Wolfsburg,"[('21/22', 'Muscular problems', 'Apr 17, 2022', 'Apr 23, 2022', '6', '1'), ('20/21', 'Corona virus', 'Dec 22, 2020', 'Dec 31, 2020', '9', '1')]"
