name,club,injuries
Riyad Mahrez,Manchester City,"[('20/21', 'Corona virus', 'Sep 7, 2020', 'Sep 21, 2020', '14', '1'), ('15/16', 'Leg Injury', 'May 27, 2016', 'Jun 5, 2016', '9', 0)]"
Erling Haaland,Manchester City,"[('22/23', 'Bruised Foot', 'Oct 26, 2022', 'Nov 4, 2022', '9', '2'), ('21/22', 'Ill', 'May 5, 2022', 'May 5, 2022', '0', 0), ('21/22', 'Muscular problems', 'Jan 24, 2022', 'Mar 7, 2022', '42', '6'), ('21/22', 'Problems with the hip flexor', 'Oct 21, 2021', 'Nov 25, 2021', '35', '7'), ('21/22', 'Muscular problems', 'Sep 23, 2021', 'Oct 11, 2021', '18', '3'), ('20/21', 'Minor Knock', 'May 6, 2021', 'May 10, 2021', '4', '1'), ('20/21', 'Muscular problems', 'Apr 29, 2021', 'May 3, 2021', '4', '1'), ('20/21', 'Torn Muscle Fibre', 'Nov 30, 2020', 'Dec 28, 2020', '28', '7'), ('20/21', 'Knee Problems', 'Oct 29, 2020', 'Nov 2, 2020', '4', '1'), ('19/20', 'Knee Problems', 'May 28, 2020', 'Jun 8, 2020', '11', '2'), ('19/20', 'Abdominal muscles injury', 'Dec 12, 2019', 'Dec 16, 2019', '4', '1'), ('19/20', 'Knee Problems', 'Nov 14, 2019', 'Nov 25, 2019', '11', '1'), ('19/20', 'Bruise', 'Oct 3, 2019', 'Oct 17, 2019', '14', '1'), ('19/20', 'Ill', 'Sep 23, 2019', 'Sep 30, 2019', '7', '2'), ('18/19', 'Ligament Injury', 'Oct 29, 2018', 'Nov 19, 2018', '21', '3')]"
Julián Álvarez,Manchester City,[]
Nahuel Bustos,Manchester City,[]
Alisson,Liverpool FC,"[('21/22', 'Corona virus', 'Jan 1, 2022', 'Jan 8, 2022', '7', '1'), ('20/21', 'Ill', 'Feb 1, 2021', 'Feb 5, 2021', '4', '1'), ('20/21', 'Hip Injury', 'Nov 29, 2020', 'Dec 12, 2020', '13', '3'), ('20/21', 'Shoulder Injury', 'Oct 3, 2020', 'Oct 23, 2020', '20', '3'), ('20/21', 'Ill', 'Sep 21, 2020', 'Sep 27, 2020', '6', '1'), ('19/20', 'Hip Injury', 'Mar 1, 2020', 'May 20, 2020', '80', '3'), ('19/20', 'Calf Injury', 'Aug 10, 2019', 'Oct 16, 2019', '67', '11'), ('17/18', 'Muscular problems', 'May 18, 2018', 'May 22, 2018', '4', '1'), ('14/15', 'Muscle Injury', 'Jun 29, 2015', 'Jul 14, 2015', '15', '4')]"
Caoimhín Kelleher,Liverpool FC,"[('21/22', 'Hamstring Injury', 'Jun 15, 2022', 'Sep 28, 2022', '105', '?'), ('21/22', 'Ill', 'Oct 22, 2021', 'Nov 1, 2021', '10', '3')]"
Adrián,Liverpool FC,"[('21/22', 'Calf Injury', 'Dec 3, 2021', 'Jan 2, 2022', '30', '8'), ('15/16', 'Calf Injury', 'May 6, 2016', 'May 16, 2016', '10', '3')]"
Virgil van Dijk,Liverpool FC,"[('21/22', 'Rest ', 'Jun 6, 2022', 'Jun 16, 2022', '10', 0), ('21/22', 'Knee Problems', 'May 16, 2022', 'May 19, 2022', '3', '1'), ('21/22', 'Corona virus', 'Dec 16, 2021', 'Dec 27, 2021', '11', '3'), ('20/21', 'Cruciate Ligament Rupture', 'Oct 19, 2020', 'Jul 1, 2021', '255', '45'), ('19/20', 'Ill', 'Dec 16, 2019', 'Dec 19, 2019', '3', '2'), ('18/19', 'Ankle Injury', 'Apr 1, 2019', 'Apr 4, 2019', '3', 0), ('18/19', 'Ill', 'Jan 21, 2019', 'Jan 28, 2019', '7', 0), ('18/19', 'Ill', 'Jan 3, 2019', 'Jan 10, 2019', '7', '2'), ('18/19', 'Fractured Rib', 'Oct 15, 2018', 'Oct 18, 2018', '3', 0), ('18/19', 'Knock', 'Sep 24, 2018', 'Sep 27, 2018', '3', '1'), ('17/18', 'Thigh Problems', 'Dec 21, 2017', 'Jan 15, 2018', '25', '6'), ('16/17', 'Ankle Injury', 'Jan 26, 2017', 'Sep 14, 2017', '231', '23'), ('14/15', 'Knock', 'May 14, 2015', 'May 18, 2015', '4', '1'), ('11/12', 'Appendectomy', 'Mar 29, 2012', 'Jul 2, 2012', '95', '7')]"
Ibrahima Konaté,Liverpool FC,"[('22/23', 'Knee Injury', 'Aug 1, 2022', 'Sep 25, 2022', '55', '10'), ('20/21', 'Ankle Injury', 'Dec 17, 2020', 'Feb 4, 2021', '49', '9'), ('20/21', 'Torn Muscle Fibre', 'Jul 1, 2020', 'Oct 15, 2020', '106', '6'), ('19/20', 'Torn Muscle Fibre', 'May 22, 2020', 'Jun 5, 2020', '14', '3'), ('19/20', 'Torn Muscle Fibre', 'Oct 3, 2019', 'Mar 11, 2020', '160', '27'), ('17/18', 'Minor Knock', 'Dec 18, 2017', 'Dec 23, 2017', '5', 0), ('17/18', 'Thigh Problems', 'Nov 9, 2017', 'Nov 16, 2017', '7', 0)]"
Joe Gomez,Liverpool FC,"[('20/21', 'Patella problems', 'Nov 11, 2020', 'Jun 30, 2021', '231', '39'), ('19/20', 'Knock', 'Mar 1, 2020', 'Mar 2, 2020', '1', 0), ('18/19', 'Ankle Surgery', 'Dec 5, 2018', 'Apr 8, 2019', '124', '23'), ('18/19', 'Knock', 'Aug 5, 2018', 'Aug 11, 2018', '6', 0), ('17/18', 'Ankle Surgery', 'May 8, 2018', 'Jul 1, 2018', '54', '2'), ('17/18', 'Ankle Injury', 'Mar 23, 2018', 'Apr 20, 2018', '28', '5'), ('16/17', 'Achilles tendon problems', 'Jul 15, 2016', 'Nov 20, 2016', '128', '15'), ('15/16', 'Cruciate Ligament Injury', 'Oct 12, 2015', 'Jun 2, 2016', '234', '52')]"
